block_diagonal,corr_first,corr_second,prop_non_zero,FDR_rand_plus_MS,FDR_rand_only,FDR_MS_only,TPR_rand_plus_MS,TPR_rand_only,TPR_MS_only,round_prop_non_zero
1.0,0.0,0.0,0.050000000000000044,0.21637460578637047,0.09722943722943722,0.18256576756576756,0.95,0.85,0.6,0.05
1.0,0.0,0.0,0.09999999999999998,0.28165518691834485,0.15410024154589372,0.10333333333333332,0.7549999999999999,0.66,0.20500000000000002,0.1
1.0,0.0,0.0,0.15000000000000002,0.2654578271191175,0.18008454106280192,0.1,0.6966666666666667,0.44333333333333336,0.06666666666666667,0.15
1.0,0.0,0.0,0.19999999999999996,0.2859970586901971,0.14283309283309284,0.04,0.32999999999999996,0.18249999999999997,0.04750000000000001,0.2
1.0,0.0,0.1,0.050000000000000044,0.17485945427121896,0.14015873015873018,0.2265151515151515,0.95,0.89,0.55,0.05
1.0,0.0,0.1,0.09999999999999998,0.31205158150216616,0.11496067113714173,0.16999999999999998,0.74,0.645,0.18,0.1
1.0,0.0,0.1,0.15000000000000002,0.28653454744180556,0.11106227106227104,0.05,0.6933333333333332,0.4966666666666667,0.05333333333333333,0.15
1.0,0.0,0.1,0.19999999999999996,0.27932447630028273,0.22490503323836655,0.2645973909131804,0.5666666666666667,0.2611111111111111,0.13611111111111113,0.2
1.0,0.0,0.2,0.050000000000000044,0.1693045843045843,0.13329517704517704,0.22756410256410256,0.8800000000000001,0.79,0.4699999999999999,0.05
1.0,0.0,0.2,0.09999999999999998,0.26583782536369827,0.1066137566137566,0.15833333333333335,0.8450000000000001,0.7749999999999999,0.16,0.1
1.0,0.0,0.2,0.15000000000000002,0.1762955182072829,0.12970121381886088,0.24619047619047615,0.64,0.44666666666666666,0.12666666666666668,0.15
1.0,0.0,0.2,0.19999999999999996,0.23438782994274984,0.10443722943722941,0.1108695652173913,0.47250000000000003,0.16749999999999998,0.06000000000000001,0.2
1.0,0.0,0.3,0.050000000000000044,0.2281890331890332,0.1877777777777778,0.2896650209693688,0.8400000000000001,0.79,0.44000000000000006,0.05
1.0,0.0,0.3,0.09999999999999998,0.20182754182754184,0.17183219839660002,0.14882488479262673,0.75,0.7000000000000001,0.24,0.1
1.0,0.0,0.3,0.15000000000000002,0.306838660250425,0.1857438884644767,0.1516774891774892,0.6533333333333333,0.41666666666666663,0.15000000000000002,0.15
1.0,0.0,0.3,0.19999999999999996,0.15135968379446638,0.16947033358798064,0.33487671748541314,0.3225,0.13249999999999998,0.135,0.2
1.0,0.0,0.4,0.050000000000000044,0.1521067821067821,0.20072954822954822,0.17666666666666667,0.82,0.68,0.32999999999999996,0.05
1.0,0.0,0.4,0.09999999999999998,0.20249615119180336,0.1546609730848861,0.2140404040404041,0.69,0.475,0.265,0.1
1.0,0.0,0.4,0.15000000000000002,0.21981351981351982,0.10026701368806631,0.2127180714022819,0.5533333333333332,0.39,0.19999999999999998,0.15
1.0,0.0,0.4,0.19999999999999996,0.1724888928084977,0.10322871572871573,0.25623188405797104,0.39,0.195,0.11250000000000002,0.2
1.0,0.1,0.0,0.050000000000000044,0.2029191238868658,0.10207070707070706,0.30794372294372296,0.95,0.8400000000000001,0.64,0.05
1.0,0.1,0.0,0.09999999999999998,0.31441974054721394,0.16910877684407097,0.2545238095238095,0.745,0.6400000000000001,0.24999999999999994,0.1
1.0,0.1,0.0,0.15000000000000002,0.228694836376288,0.13445235320235321,0.08166666666666667,0.6799999999999999,0.35666666666666663,0.06666666666666667,0.15
1.0,0.1,0.0,0.19999999999999996,0.18681890147363295,0.13665800865800865,0.10846153846153847,0.38,0.1975,0.0675,0.2
1.0,0.1,0.1,0.050000000000000044,0.2505994005994006,0.1237851037851038,0.17783383283383286,0.9100000000000001,0.8200000000000001,0.4800000000000001,0.05
1.0,0.1,0.1,0.09999999999999998,0.2768458646616541,0.07774296675191815,0.10039335664335665,0.7500000000000001,0.635,0.24,0.1
1.0,0.1,0.1,0.15000000000000002,0.15437425328554358,0.10476119275461379,0.017857142857142856,0.7,0.49166666666666664,0.08333333333333333,0.15
1.0,0.1,0.1,0.19999999999999996,0.29350807728856504,0.27994227994227994,0.09659090909090909,0.47812499999999997,0.234375,0.065625,0.2
1.0,0.1,0.2,0.050000000000000044,0.20234848484848483,0.14494505494505494,0.29893939393939395,0.9,0.8,0.36,0.05
1.0,0.1,0.2,0.09999999999999998,0.201963658322354,0.19176881841355525,0.13999999999999999,0.78,0.71,0.145,0.1
1.0,0.1,0.2,0.15000000000000002,0.20913856754252233,0.1837991718426501,0.2231240981240981,0.6296296296296297,0.3592592592592593,0.13333333333333336,0.15
1.0,0.1,0.2,0.19999999999999996,0.26413937795091047,0.12346031746031745,0.041666666666666664,0.3975,0.1675,0.057499999999999996,0.2
1.0,0.1,0.3,0.050000000000000044,0.22742200328407222,0.2152886002886003,0.24976923076923074,0.8400000000000001,0.73,0.39,0.05
1.0,0.1,0.3,0.09999999999999998,0.25650315867707174,0.16109943977591035,0.17432234432234434,0.72,0.5599999999999999,0.23500000000000001,0.1
1.0,0.1,0.3,0.15000000000000002,0.23802174476608692,0.19284391534391535,0.22639097744360903,0.6233333333333333,0.4333333333333333,0.19666666666666666,0.15
1.0,0.1,0.3,0.19999999999999996,0.15025974025974026,0.17531809693574402,0.025,0.3525,0.185,0.06749999999999999,0.2
1.0,0.1,0.4,0.050000000000000044,0.1675091575091575,0.22286532181269023,0.22166666666666668,0.74,0.64,0.33999999999999997,0.05
1.0,0.1,0.4,0.09999999999999998,0.2685932882906567,0.14585622710622712,0.18857142857142856,0.6500000000000001,0.4699999999999999,0.225,0.1
1.0,0.1,0.4,0.15000000000000002,0.1866453876236485,0.15437229437229433,0.25767676767676767,0.5766666666666667,0.3566666666666667,0.13333333333333336,0.15
1.0,0.1,0.4,0.19999999999999996,0.1528953823953824,0.27095238095238094,0.28374999999999995,0.36,0.16749999999999998,0.12250000000000001,0.2
1.0,0.2,0.0,0.050000000000000044,0.21411588411588411,0.11414585414585417,0.17244422244422244,0.8799999999999999,0.7900000000000001,0.52,0.05
1.0,0.2,0.0,0.09999999999999998,0.25083140740005727,0.21991341991341992,0.22910256410256408,0.745,0.5199999999999999,0.25499999999999995,0.1
1.0,0.2,0.0,0.15000000000000002,0.19678715202422095,0.11413692301850195,0.10158730158730159,0.5866666666666667,0.32333333333333336,0.10999999999999999,0.15
1.0,0.2,0.0,0.19999999999999996,0.2458051208051208,0.23941798941798945,0.2654320987654321,0.32499999999999996,0.20277777777777778,0.1416666666666667,0.2
1.0,0.2,0.1,0.050000000000000044,0.22892773892773888,0.10194444444444443,0.27041592394533576,0.9100000000000001,0.8200000000000001,0.53,0.05
1.0,0.2,0.1,0.09999999999999998,0.28242692729265617,0.16973458648826847,0.24012751953928424,0.74,0.615,0.23500000000000001,0.1
1.0,0.2,0.1,0.15000000000000002,0.2472314522306033,0.07232784166298098,0.23333333333333334,0.6299999999999999,0.41666666666666663,0.11333333333333333,0.15
1.0,0.2,0.1,0.19999999999999996,0.1811299810246679,0.142531328320802,0.05,0.375,0.205,0.05,0.2
1.0,0.2,0.2,0.050000000000000044,0.1569264069264069,0.13268120768120767,0.34519480519480517,0.9,0.8,0.48,0.05
1.0,0.2,0.2,0.09999999999999998,0.2666789377147433,0.180427807486631,0.20584415584415586,0.7449999999999999,0.605,0.2,0.1
1.0,0.2,0.2,0.15000000000000002,0.2753086657914244,0.12452300150829562,0.2620238095238095,0.6233333333333333,0.3466666666666667,0.09666666666666665,0.15
1.0,0.2,0.2,0.19999999999999996,0.23703428145501318,0.1467929292929293,0.06166666666666667,0.51,0.2325,0.0475,0.2
1.0,0.2,0.3,0.050000000000000044,0.19112577386770938,0.22141955266955266,0.24910173160173157,0.89,0.73,0.43,0.05
1.0,0.2,0.3,0.09999999999999998,0.2808204241292477,0.11497552447552448,0.20813186813186815,0.75,0.52,0.24,0.1
1.0,0.2,0.3,0.15000000000000002,0.2229531966043122,0.1637847446670976,0.2619455544455544,0.61,0.4366666666666667,0.1766666666666667,0.15
1.0,0.2,0.3,0.19999999999999996,0.181773088023088,0.12166666666666667,0.175,0.3725,0.16999999999999998,0.08,0.2
1.0,0.2,0.4,0.050000000000000044,0.2778729603729604,0.17194444444444446,0.23428571428571426,0.79,0.6000000000000001,0.4,0.05
1.0,0.2,0.4,0.09999999999999998,0.23953835516335514,0.1953327228327228,0.22601953601953606,0.6300000000000001,0.43,0.26000000000000006,0.1
1.0,0.2,0.4,0.15000000000000002,0.2113736263736264,0.22887933387933387,0.22047619047619044,0.4833333333333334,0.27999999999999997,0.16333333333333336,0.15
1.0,0.2,0.4,0.19999999999999996,0.17403633777569946,0.19553224553224552,0.26203703703703707,0.3425,0.13499999999999998,0.15250000000000002,0.2
1.0,0.3,0.0,0.050000000000000044,0.2526765391471274,0.12454545454545454,0.14512820512820512,0.9000000000000001,0.78,0.41,0.05
1.0,0.3,0.0,0.09999999999999998,0.25644355644355643,0.0884518113465482,0.23246253746253748,0.7,0.505,0.3000000000000001,0.1
1.0,0.3,0.0,0.15000000000000002,0.260311868800022,0.10762859128822985,0.23974358974358972,0.53,0.2733333333333334,0.12333333333333336,0.15
1.0,0.3,0.0,0.19999999999999996,0.29434235867805847,0.11719971205265323,0.1715,0.3625,0.17750000000000002,0.1025,0.2
1.0,0.3,0.1,0.050000000000000044,0.20356464720275463,0.12275252525252525,0.19815850815850816,0.9,0.7900000000000001,0.51,0.05
1.0,0.3,0.1,0.09999999999999998,0.34184529608678216,0.08724348750664539,0.21802572427572428,0.8000000000000002,0.59,0.29999999999999993,0.1
1.0,0.3,0.1,0.15000000000000002,0.21056545604932703,0.1314163614163614,0.2333333333333333,0.5266666666666666,0.36000000000000004,0.08666666666666666,0.15
1.0,0.3,0.1,0.19999999999999996,0.14629445785927142,0.16928603259485614,0.09038461538461538,0.38499999999999995,0.215,0.05500000000000001,0.2
1.0,0.3,0.2,0.050000000000000044,0.1908712121212121,0.10893162393162395,0.18836163836163836,0.8,0.7400000000000001,0.51,0.05
1.0,0.3,0.2,0.09999999999999998,0.2743096455973694,0.1449703489328607,0.15457875457875456,0.775,0.55,0.21999999999999997,0.1
1.0,0.3,0.2,0.15000000000000002,0.2497790741250494,0.2347817825449404,0.2775974025974026,0.5666666666666667,0.36666666666666664,0.11666666666666667,0.15
1.0,0.3,0.2,0.19999999999999996,0.20519491129785247,0.16669894433052326,0.12571428571428572,0.4149999999999999,0.2375,0.095,0.2
1.0,0.3,0.3,0.050000000000000044,0.22649350649350647,0.18843434343434345,0.31341991341991343,0.7400000000000001,0.61,0.45999999999999996,0.05
1.0,0.3,0.3,0.09999999999999998,0.32603954200505925,0.08295841413488472,0.3719114219114219,0.745,0.48999999999999994,0.23000000000000004,0.1
1.0,0.3,0.3,0.15000000000000002,0.1765581918081918,0.20940476190476193,0.21619047619047618,0.5066666666666666,0.26999999999999996,0.17666666666666664,0.15
1.0,0.3,0.3,0.19999999999999996,0.2075865800865801,0.09669059011164274,0.12277777777777776,0.36,0.1475,0.08499999999999999,0.2
1.0,0.3,0.4,0.050000000000000044,0.12,0.19611111111111112,0.19291666666666668,0.6000000000000001,0.48,0.41000000000000003,0.05
1.0,0.3,0.4,0.09999999999999998,0.1947298136645963,0.11190476190476191,0.16952380952380952,0.54,0.375,0.27,0.1
1.0,0.3,0.4,0.15000000000000002,0.2129093373946315,0.18592712842712844,0.12444444444444444,0.38999999999999996,0.21666666666666665,0.14333333333333334,0.15
1.0,0.3,0.4,0.19999999999999996,0.19975690975690974,0.14457070707070707,0.40651515151515155,0.34500000000000003,0.1725,0.0875,0.2
1.0,0.4,0.0,0.050000000000000044,0.2220227433385328,0.0786111111111111,0.08611111111111111,0.77,0.62,0.49000000000000005,0.05
1.0,0.4,0.0,0.09999999999999998,0.35127976190476196,0.12214646464646464,0.16,0.6799999999999999,0.43000000000000005,0.185,0.1
1.0,0.4,0.0,0.15000000000000002,0.27668221768285706,0.13657731157731157,0.12012987012987013,0.5233333333333333,0.3333333333333333,0.16333333333333336,0.15
1.0,0.4,0.0,0.19999999999999996,0.19350441225441226,0.1573274764451235,0.03125,0.4000000000000001,0.18749999999999997,0.1,0.2
1.0,0.4,0.1,0.050000000000000044,0.17738636363636365,0.13905844155844155,0.1632936507936508,0.8200000000000001,0.7300000000000001,0.45999999999999996,0.05
1.0,0.4,0.1,0.09999999999999998,0.30144208861314126,0.16343325791855204,0.1821428571428571,0.7250000000000001,0.4600000000000001,0.27499999999999997,0.1
1.0,0.4,0.1,0.15000000000000002,0.2655910731257346,0.13509655549129235,0.08,0.4933333333333333,0.25000000000000006,0.12,0.15
1.0,0.4,0.1,0.19999999999999996,0.1265887621150779,0.1502777777777778,0.10166666666666666,0.35000000000000003,0.18250000000000005,0.095,0.2
1.0,0.4,0.2,0.050000000000000044,0.20025974025974028,0.15096015096015095,0.18225563909774434,0.77,0.6399999999999999,0.39,0.05
1.0,0.4,0.2,0.09999999999999998,0.36095612720612724,0.15476678550207962,0.13999999999999999,0.7200000000000001,0.45000000000000007,0.22999999999999998,0.1
1.0,0.4,0.2,0.15000000000000002,0.17947290574922153,0.20523809523809522,0.16717391304347823,0.48999999999999994,0.32999999999999996,0.14,0.15
1.0,0.4,0.2,0.19999999999999996,0.13057698124621897,0.21256555944055944,0.2031702898550725,0.35625,0.22187500000000002,0.13124999999999998,0.2
1.0,0.4,0.3,0.050000000000000044,0.2941501480975165,0.2283116883116883,0.2770562770562771,0.64,0.52,0.29,0.05
1.0,0.4,0.3,0.09999999999999998,0.26352225672877844,0.138030303030303,0.26859848484848486,0.585,0.335,0.225,0.1
1.0,0.4,0.3,0.15000000000000002,0.20303340734287026,0.23172019052000076,0.26690476190476187,0.38333333333333336,0.23333333333333334,0.16333333333333336,0.15
1.0,0.4,0.3,0.19999999999999996,0.2230194805194805,0.13023809523809524,0.05,0.40750000000000003,0.155,0.06999999999999999,0.2
1.0,0.4,0.4,0.050000000000000044,0.16338383838383838,0.1317965367965368,0.24029304029304027,0.5799999999999998,0.45,0.43,0.05
1.0,0.4,0.4,0.09999999999999998,0.18024891774891777,0.13587662337662337,0.20571637426900585,0.53,0.33,0.29999999999999993,0.1
1.0,0.4,0.4,0.15000000000000002,0.19077720510954807,0.1444103194103194,0.2054569892473118,0.42000000000000004,0.29999999999999993,0.19,0.15
1.0,0.4,0.4,0.19999999999999996,0.11546296296296295,0.14573676323676327,0.2178571428571429,0.34249999999999997,0.1975,0.0925,0.2
1.0,0.5,0.0,0.050000000000000044,0.15969169719169718,0.18206349206349204,0.1738690476190476,0.5999999999999999,0.48999999999999994,0.41999999999999993,0.05
1.0,0.5,0.0,0.09999999999999998,0.29519738881614643,0.1654040404040404,0.09666666666666666,0.555,0.40499999999999997,0.24500000000000002,0.1
1.0,0.5,0.0,0.15000000000000002,0.2512735774692297,0.19729757085020244,0.19790209790209792,0.4666666666666667,0.3433333333333334,0.17333333333333337,0.15
1.0,0.5,0.0,0.19999999999999996,0.14745421245421245,0.1580609243697479,0.07634920634920635,0.36249999999999993,0.2625,0.125,0.2
1.0,0.5,0.1,0.050000000000000044,0.3022555222555222,0.14396825396825397,0.1075,0.6799999999999999,0.4800000000000001,0.38,0.05
1.0,0.5,0.1,0.09999999999999998,0.29891955266955267,0.27510331258009274,0.24539682539682542,0.6299999999999999,0.4,0.27,0.1
1.0,0.5,0.1,0.15000000000000002,0.2539069200881345,0.2519047619047619,0.15696803196803197,0.42666666666666675,0.23666666666666672,0.20333333333333337,0.15
1.0,0.5,0.1,0.19999999999999996,0.2710781749491427,0.04038461538461539,0.08333333333333333,0.4325,0.17250000000000001,0.06999999999999999,0.2
1.0,0.5,0.2,0.050000000000000044,0.22585192585192582,0.2316841491841492,0.2261111111111111,0.6799999999999999,0.55,0.37,0.05
1.0,0.5,0.2,0.09999999999999998,0.40735764235764227,0.16123376623376623,0.1412337662337662,0.6199999999999999,0.35000000000000003,0.265,0.1
1.0,0.5,0.2,0.15000000000000002,0.23712925980668947,0.14572150072150072,0.19285714285714284,0.45,0.19666666666666666,0.14666666666666667,0.15
1.0,0.5,0.2,0.19999999999999996,0.20795936045936045,0.14432900432900436,0.06666666666666667,0.3225,0.1675,0.065,0.2
1.0,0.5,0.3,0.050000000000000044,0.17136904761904762,0.24783549783549783,0.1371794871794872,0.55,0.42000000000000004,0.36,0.05
1.0,0.5,0.3,0.09999999999999998,0.2861212121212121,0.17129329004329005,0.24839285714285717,0.5399999999999999,0.33999999999999997,0.31,0.1
1.0,0.5,0.3,0.15000000000000002,0.1561301566080978,0.14535714285714288,0.18735025843721495,0.4333333333333334,0.24333333333333335,0.19333333333333333,0.15
1.0,0.5,0.3,0.19999999999999996,0.21344866392304723,0.17888888888888888,0.04,0.34750000000000003,0.1675,0.075,0.2
1.0,0.5,0.4,0.050000000000000044,0.20860930735930733,0.17714285714285713,0.10428571428571429,0.5199999999999999,0.37,0.31999999999999995,0.05
1.0,0.5,0.4,0.09999999999999998,0.1970975056689342,0.2257936507936508,0.10833333333333332,0.47000000000000003,0.35500000000000004,0.26,0.1
1.0,0.5,0.4,0.15000000000000002,0.16652374490753097,0.18648351648351652,0.11096153846153847,0.43,0.26999999999999996,0.18,0.15
1.0,0.5,0.4,0.19999999999999996,0.1666996875673346,0.16594241285030759,0.1663131313131313,0.37249999999999994,0.20750000000000002,0.1325,0.2
