block_diagonal,corr_first,corr_second,prop_non_zero,FDR_rand_plus_MS,FDR_rand_only,FDR_MS_only,FDR_MDS_only,TPR_rand_plus_MS,TPR_rand_only,TPR_MS_only,TPR_MDS_only,POWER_rand_plus_MS,POWER_rand_only,POWER_MS_only,POWER_MDS_only,round_prop_non_zero
1.0,0.0,0.0,0.050000000000000044,0.08673914285868743,0.13348244561745676,0.08999717555752038,0.026098901098901096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
1.0,0.0,0.0,0.09999999999999998,0.07857507303046743,0.0923230517083629,0.10192877511163431,0.01301247771836007,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.1
1.0,0.0,0.0,0.15000000000000002,0.08166301284436892,0.08255353056229008,0.10208926053850483,0.018121693121693122,1.0,1.0,0.9453333333333335,0.9946666666666667,1.0,1.0,0.9453333333333335,0.9946666666666667,0.15
1.0,0.0,0.0,0.19999999999999996,0.06831383482937925,0.07536796171034706,0.17809511053131682,0.07068849844131234,1.0,0.999,0.48200000000000004,0.9469999999999998,1.0,0.999,0.48200000000000004,0.9469999999999998,0.2
1.0,0.1,0.0,0.050000000000000044,0.07718283894754482,0.13805386470827646,0.0974799064899176,0.022792022792022793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
1.0,0.1,0.0,0.09999999999999998,0.08310146684905724,0.10317129785879138,0.1337132184816424,0.0056603773584905665,1.0,1.0,1.0,0.9960000000000001,1.0,1.0,1.0,0.9960000000000001,0.1
1.0,0.1,0.0,0.15000000000000002,0.06813914788538362,0.0867827736870363,0.08816456208969772,0.015047180034343067,1.0,1.0,0.9306666666666666,0.9946666666666667,1.0,1.0,0.9306666666666666,0.9946666666666667,0.15
1.0,0.1,0.0,0.19999999999999996,0.06888346615663041,0.06823054256182248,0.2068521309854428,0.043531021516982224,1.0,1.0,0.4959999999999999,0.9280000000000002,1.0,1.0,0.4959999999999999,0.9280000000000002,0.2
1.0,0.3,0.0,0.050000000000000044,0.07834757834757833,0.14798893982361722,0.0970756813202259,0.0150997150997151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
1.0,0.3,0.0,0.09999999999999998,0.07901918688909751,0.125418491184401,0.10375295833096916,0.009653092006033183,1.0,1.0,0.998,0.994,1.0,1.0,0.998,0.994,0.1
1.0,0.3,0.0,0.15000000000000002,0.0714756641692606,0.09208593799389163,0.08697700965515145,0.007692307692307693,1.0,1.0,0.8613333333333333,0.9880000000000001,1.0,1.0,0.8613333333333333,0.9880000000000001,0.15
1.0,0.3,0.0,0.19999999999999996,0.05809572572584487,0.06761583915832395,0.08811512304897115,0.039714543624970414,1.0,1.0,0.574,0.892,1.0,1.0,0.574,0.892,0.2
1.0,0.5,0.0,0.050000000000000044,0.0650313466951837,0.13708339156394075,0.04653846153846154,0.02317899491812535,0.8320000000000001,0.764,0.76,0.8119999999999999,0.8320000000000001,0.764,0.76,0.8119999999999999,0.05
1.0,0.5,0.0,0.09999999999999998,0.04128020720031091,0.1119917195207893,0.05153342153342153,0.005555555555555555,0.8,0.726,0.6839999999999999,0.7359999999999999,0.8,0.726,0.6839999999999999,0.7359999999999999,0.1
1.0,0.5,0.0,0.15000000000000002,0.04283709601619091,0.11220987084967211,0.045642167011732224,0.0018518518518518517,0.7706666666666666,0.656,0.5920000000000001,0.708,0.7706666666666666,0.656,0.5920000000000001,0.708,0.15
1.0,0.5,0.0,0.19999999999999996,0.046991134142121214,0.10824122189045689,0.04241260850002658,0.0061560661560661565,0.751,0.615,0.535,0.646,0.751,0.615,0.535,0.646,0.2
0.0,0.0,0.0,0.050000000000000044,0.1465364057809504,0.11146175424192664,0.10019178168163152,0.04393569393569394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
0.0,0.0,0.0,0.09999999999999998,0.0836735000591068,0.08898825346193767,0.06279939590150466,0.01105169340463458,1.0,1.0,1.0,0.8939999999999999,1.0,1.0,1.0,0.8939999999999999,0.1
0.0,0.0,0.0,0.15000000000000002,0.07942710220328585,0.08377001982800472,0.10575038126125083,0.011573885807729912,1.0,1.0,0.9720000000000001,0.9959999999999999,1.0,1.0,0.9720000000000001,0.9959999999999999,0.15
0.0,0.0,0.0,0.19999999999999996,0.10588392454171755,0.09931136503025843,0.05942040119504908,0.06594495927118108,1.0,1.0,0.5589999999999999,0.9490000000000001,1.0,1.0,0.5589999999999999,0.9490000000000001,0.2
0.0,0.1,0.0,0.050000000000000044,0.15014432404404107,0.12508891944375816,0.08092978993980104,0.04088319088319088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
0.0,0.1,0.0,0.09999999999999998,0.08102626828301839,0.09043101607649771,0.09150635693648165,0.0056603773584905665,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.1
0.0,0.1,0.0,0.15000000000000002,0.08717130846850313,0.10107341361533842,0.11142871503816767,0.014173988407832513,1.0,1.0,0.9733333333333333,0.9906666666666666,1.0,1.0,0.9733333333333333,0.9906666666666666,0.15
0.0,0.1,0.0,0.19999999999999996,0.09830383178594489,0.09597631578361138,0.06963668313426459,0.054677739330082444,1.0,1.0,0.589,0.9480000000000001,1.0,1.0,0.589,0.9480000000000001,0.2
0.0,0.3,0.0,0.050000000000000044,0.14365948943420645,0.14976880661430403,0.08996098862617216,0.03658512624029865,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.05
0.0,0.3,0.0,0.09999999999999998,0.11528539472885317,0.10396825234639377,0.12016807853292837,0.007692307692307693,1.0,1.0,0.998,0.898,1.0,1.0,0.998,0.898,0.1
0.0,0.3,0.0,0.15000000000000002,0.08596425156559763,0.09506992842307506,0.08899721904316395,0.011133987963256256,1.0,1.0,0.9546666666666667,0.992,1.0,1.0,0.9546666666666667,0.992,0.15
0.0,0.3,0.0,0.19999999999999996,0.09272014806514571,0.10063643717823205,0.07568588589162424,0.0426536090406157,1.0,1.0,0.6719999999999999,0.954,1.0,1.0,0.6719999999999999,0.954,0.2
0.0,0.5,0.0,0.050000000000000044,0.10529384830855419,0.14279399214883087,0.1189215914014301,0.03891941391941391,1.0,0.9960000000000001,1.0,0.9,1.0,0.9960000000000001,1.0,0.9,0.05
0.0,0.5,0.0,0.09999999999999998,0.10586417111740906,0.1134608820634229,0.08255210569588192,0.018557422969187675,1.0,1.0,0.9879999999999999,0.9960000000000001,1.0,1.0,0.9879999999999999,0.9960000000000001,0.1
0.0,0.5,0.0,0.15000000000000002,0.10777739022429719,0.08105472069889343,0.11083771326942618,0.04387065647739924,0.9973333333333333,0.992,0.9093333333333333,0.9893333333333333,0.9973333333333333,0.992,0.9093333333333333,0.9893333333333333,0.15
0.0,0.5,0.0,0.19999999999999996,0.0894962793335355,0.07919786518870292,0.12241529280532219,0.08552499158823654,0.9970000000000001,0.9940000000000001,0.641,0.9509999999999998,0.9970000000000001,0.9940000000000001,0.641,0.9509999999999998,0.2
